Titles,Fields,Salaries,Locations,Cities,Experiences,Enrollment_statuses,Educations,Dates
Кафедра меңгерушісі,Білім беру және тәрбиелеу,от 400 000 до 500 000 тг.,"""Ulttyq Business & Engineering School"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,17.10.2024 жарияланды
Редактор (жалпы бейін),Маркетинг және БАҚ,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
Жалпы практика дәрігері,Медицина және фармацевтика,от 200 000 до 300 000 тг.,Қазақстан Республикасы Төтенше жағдайлар министрлігінің Апаттар медицинасы орталығы (Астана қаласы) мемлекеттік мекемесінің Алматы қаласы бойынша филиалы,"Алматы  қ., Бостандық ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
Медицина тіркеушісі,Медицина және фармацевтика,от 85 000 до 100 000 тг.,"Алматы қаласы Қоғамдық денсаулық сақтау басқармасының шаруашылық жүргізу құқығындағы ""№33 қалалық емхана"" коммуналдық мемлекеттік кәсіпорны","Алматы  қ., Жетісу ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,16.10.2024 жарияланды
Әдіскер,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"Шығыс Қазақстан облысы білім басқармасының ""Зайсан ауданы бойынша білім бөлімі"" мемлекеттік мекемесі","Шығыс Қазақстан облысы, Зайсан ауданы, Зайсан қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
Офис-менеджер,HR және хатшылық,от 160 000 до 200 000 тг.,"Қазақстан Республикасының Цифрлық даму, инновациялар және аэроғарыш өнеркәсібі министрлігі Аэроғарыш комитетінің «Инфракос» шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Алматы қаласындағы филиалы","Алматы  қ., Алмалы ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
"Бөлім меңгерушісі (басшысы) (әдеби-драмалық, режиссерлік, көркем-қойылымдық, педагогикалық және т.б.)",Мәдениет және спорт,180 000 тг. бастап,"""Шығыс Қазақстан облысы мәдениет басқармасының ""Шығыс Қазақстан облыстық драма және оперетта театры"" коммуналдық мемлекеттік қазыналық кәсіпорны","Шығыс Қазақстан облысы, Өскемен қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,16.10.2024 жарияланды
Жүк фурасының жүргізушісі,Көлік және логистика,от 300 000 до 400 000 тг.,ИП Олжас,"Ақтөбе облысы, Ақтөбе қ., Астана ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,16.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,150 000 тг. бастап,"Астана қаласы әкімдігінің ""Ыбырай Алтынсарин атыңдағы № 83 мектеп-гимназия"" шаруашылық жүргізу құқығындағы мемлекеттік коммуналдық кәсіпорны",Астана қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Заңгер,Құқықтану,от 110 760 до 200 000 тг.,"""АЗИЗ-ПРОЕКТ"" жауапкершілігі шектеулі серіктестігі","Ақтөбе облысы, Ақтөбе қ., Астана ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Оқу бөлімі директорының (бастығы) орынбасары,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Жетісу облысы білім басқармасының Кербұлақ ауданы бойынша білім бөлімі"" мемлекеттік мекемесінің ""№49 орта мектеп"" коммуналдық мемлекеттік мекемесі","Жетісу облысы, Кербұлақ ауданы, Сарыөзек а.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Қазақ тілі мен әдебиеті пәнінің мұғалімі,Білім беру және тәрбиелеу,100 000 тг. бастап,"""Spectrum Kindergarten"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Алматы"" ауданы",2 жыл жұмыс өтілі,толық емес жұмыс аптасы,жоғары,15.10.2024 жарияланды
Аудармашы (жазбаша),Ғылым және кеңес беру,от 150 000 до 300 000 тг.,Leader&Komek,"Астана қ., ""Байқоңыр"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Аудармашы (жазбаша),Ғылым және кеңес беру,от 150 000 до 300 000 тг.,Leader&Komek,"Астана қ., ""Байқоңыр"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Орыс тілі мен әдебиеті мұғалімі,Білім беру және тәрбиелеу,от 100 000 до 280 000 тг.,Ұлытау облысы білім басқармасының Ұлытау ауданы білім бөлімінің «№11 жалпы білім беретін мектебі» коммуналдық мемлекеттік мекемесі,"Ұлытау облысы, Ұлытау ауданы, Қоскөл а.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,15.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Lingua Club"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары оқу орыннан кейін,14.10.2024 жарияланды
Кадрлар бойынша маман,HR және хатшылық,от 200 000 до 250 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Кадрлар бойынша маман,HR және хатшылық,от 200 000 до 250 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Программист-талдаушы,IT және телекоммуникациялар,от 200 000 до 250 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Заңгер,Құқықтану,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Қойма меңгерушісі,Өндіріс,от 200 000 до 250 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Бас бухгалтердің орынбасары,Қаржы және бухгалтерлік есеп,от 350 000 до 400 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Сатып алу жөніндегі маман,Қаржы және бухгалтерлік есеп,от 350 000 до 400 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Сатып алу жөніндегі менеджер,Қаржы және бухгалтерлік есеп,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Экономист,Қаржы және бухгалтерлік есеп,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Бас экономист,Қаржы және бухгалтерлік есеп,от 450 000 до 500 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Бас комплаенс-бақылаушы,Басшылар,от 350 000 до 400 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
"Мекеме, ұйым және кәсіпорын басшысының кеңесшісі",Басшылар,от 500 000 до 600 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 300 000 до 400 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 400 000 до 450 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 400 000 до 450 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 100 000 до 150 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 250 000 до 300 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Офис-менеджер,HR және хатшылық,от 200 000 до 250 000 тг.,"""Астана жиһаз фабрикасы №1"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Байқоңыр"" ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 350 000 до 400 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Сатып алушы,Сауда және қоймалау,250 000 тг. бастап,"""Астана жиһаз фабрикасы №1"" жауапкершілігі шектеулі серіктестігі",Астана қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 450 000 до 500 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары оқу орыннан кейін,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 350 000 до 450 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 350 000 до 450 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 400 000 до 500 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ғылыми қызметкер (білім беру саласында),Білім беру және тәрбиелеу,от 450 000 до 500 000 тг.,"Қазақстан Республикасы Оқу-ағарту министрлігінің ""Ы. Алтынсарин атындағы Ұлттық білім академиясы"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорны","Астана қ., ""Есіл"" ауданы",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Бас бухгалтер,Қаржы және бухгалтерлік есеп,от 200 000 до 250 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Химия пәнінің мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Математика мұғалімі (алгебра және геометрия),Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,280 000 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Жамбыл филиалы","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,280 600 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Жамбыл филиалы","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,ауысымды,жоғары,14.10.2024 жарияланды
Авиация диспетчері,Көлік және логистика,300 000 тг. бастап,"Қазақстан Республикасы Көлік министрлігі Азаматтық авиация комитетінің ""Қазаэронавигация"" шаруашылық жүргізу құқығындағы республикалық мемлекеттік кәсіпорнының Жамбыл филиалы","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ресепшн қызметкері,Тұру және тамақтану,250 000 тг. бастап,"""ГРУПП Төрт"" Жауапкершілігі Шектеулі Серіктестігінің Астана қаласындағы филиалы","Астана қ., ""Алматы"" ауданы",Еңбек өтілі жоқ,ауысымды,ортадан кейін,14.10.2024 жарияланды
"Бас сарапшы, В-5 санаты",Мемлекеттік қызмет,от 130 000 до 160 000 тг.,"Алматы қаласы Қоғамдық даму басқармасының ""Алматы қаласы Қоғамдық даму орталығы"" коммуналдық мемлекеттік мекемесі","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Клиенттермен жұмыс жасау жөніндегі менеджер,Жеке қызметтер және сервис,от 85 000 до 900 000 тг.,"ИП ""АХМЕТОВА Р.С.""",Астана қ.,Еңбек өтілі жоқ,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Математика мұғалімі (алгебра және геометрия),Білім беру және тәрбиелеу,120 000 тг. бастап,"Жамбыл облысы әкімдігінің білім басқармасының ""Жамбыл инновациялық жоғары колледжі"" мемлекеттік коммуналдық қазыналық кәсіпорны","Жамбыл облысы, Тараз қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Ұйымдастырушы мұғалім,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Perspective School"" жауапкершілігі шектеулі серіктестігі","Астана қ., ""Алматы"" ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Бала бақшасындағы күтуші,Білім беру және тәрбиелеу,от 85 000 до 90 000 тг.,"Қарағанды облысы білім басқармасының Қарағанды қаласы білім бөлімінің ""Алтын бесік"" бөбекжайы"" коммуналдық мемлекеттік қазыналық кәсіпорыны","Қарағанды облысы, Қарағанды қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жалпы орта (1 сыныптан 11/12 сыныптарға дейін),14.10.2024 жарияланды
Гардеробшы,Мәдениет және спорт,от 85 000 до 100 000 тг.,"Қазақстан Республикасының Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Құрманғазы атындағы Қазақ ұлттық халық аспаптар оркестрі"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",Еңбек өтілі жоқ,толық емес жұмыс күні,ортадан кейін,14.10.2024 жарияланды
Аудармашы (жазбаша),,85 000 тг. бастап,"""Алматинские электрические станции"" акционерлік қоғамы",Алматы  қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,14.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 86 000 до 200 000 тг.,ИП Биктимирова,"Батыс Қазақстан облысы, Орал қ.",1 жыл жұмыс өтілі,толық емес жұмыс күні,жоғары,14.10.2024 жарияланды
Комплаенс маманы,Қаржы және бухгалтерлік есеп,600 000 тг. бастап,"""Нұрсұлтан Назарбаев халықаралық әуежайы"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Бөлім бастығы,Басшылар,от 130 000 до 140 000 тг.,"""Жетісу облысының кәсіпкерлік және индустриялық-инновациялық даму басқармасы"" мемлекеттік мекемесінің ""Жетісу"" туристік ақпараттық орталығы"" коммуналдық мемлекеттік мекемесі","Жетісу облысы, Талдықорған қ.",1 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,180 000 тг. бастап,"""Almaty Brainy Centre"" жауапкершілігі шектеулі серіктестігі","Алматы  қ., Медеу ауданы",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Жүйелік әкімші,IT және телекоммуникациялар,от 400 000 до 480 000 тг.,"""Haileybury Astana School"" коммерциялық емес акционерлік қоғамы","Астана қ., ""Алматы"" ауданы",4 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
SMM-менеджер,Маркетинг және БАҚ,от 200 000 до 230 000 тг.,"""Қазақстан Республикасы Мәдениет және ақпарат министрлігі Мәдениет комитетінің ""Абай атындағы Қазақ ұлттық опера және балет театры"" республикалық мемлекеттік қазыналық кәсіпорны","Алматы  қ., Алмалы ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Қаржы жөніндегі құрылымдық бөлім жетекшісінің орынбасары,Қаржы және бухгалтерлік есеп,от 350 000 до 380 000 тг.,"""Haileybury Astana School"" коммерциялық емес акционерлік қоғамы",Астана қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,,ИП КУБУКУЛОВА МАНАР НЕФЕСБЕРГЕНОВНА,"Маңғыстау облысы, Жаңаөзен қ., Теңге а.",Еңбек өтілі жоқ,,техникалық және кәсіби,11.10.2024 жарияланды
Есеп жөніндегі бухгалтер,Қаржы және бухгалтерлік есеп,,ИП КУБУКУЛОВА МАНАР НЕФЕСБЕРГЕНОВНА,"Маңғыстау облысы, Жаңаөзен қ., Теңге а.",Еңбек өтілі жоқ,,техникалық және кәсіби,11.10.2024 жарияланды
Кітапханашы,Мәдениет және спорт,от 85 000 до 150 000 тг.,"Қарағанды облысының мәдениет, архивтер және кұжаттама басқармасының ""Н.В.Гоголь атындағы Қарағанды облыстық әмбебап ғылыми кітапханасы"" коммуналдық мемлекеттік мекемесі","Қарағанды облысы, Қарағанды қ., Қазыбек би атын.ауданы",1 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,11.10.2024 жарияланды
Промоутер (жарнама),Біліктілігі жоқ мамандықтар,от 150 000 до 180 000 тг.,"""SHARMel"" жауапкершілігі шектеулі серіктестігі",Астана қ.,1 жыл жұмыс өтілі,толық емес жұмыс аптасы,ортадан кейін,11.10.2024 жарияланды
Академик - хатшы,Білім беру және тәрбиелеу,от 250 000 до 315 000 тг.,"""Haileybury Almaty"" коммерциялық емес акционерлік қоғамы","Алматы  қ., Медеу ауданы",2 жыл жұмыс өтілі,толық жұмыс күні,жоғары,11.10.2024 жарияланды
Техникалық бақылау бақылаушысы,Өндіріс,от 150 000 до 200 000 тг.,""" ИСИ ГИПС ИНДЕР"" жауапкершілігі шектеулі серіктестігі","Атырау облысы, Индер ауданы, Индербор к.",3 жыл жұмыс өтілі,толық жұмыс күні,техникалық және кәсіби,11.10.2024 жарияланды
Сатып алу жөніндегі маман,,85 000 тг. бастап,"""Бейнеу-Шымкент Газ құбыры"" жауапкершілігі шектеулі серіктестігі",Алматы  қ.,3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Департамент директоры,Басшылар,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Департамент директоры,Басшылар,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Физика пәнінің мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Тарих пәнінің мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Информатика пәнінің мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Шетел тілі мұғалімі,Білім беру және тәрбиелеу,от 150 000 до 200 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,10.10.2024 жарияланды
География пәнінің мұғалімі,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",Еңбек өтілі жоқ,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Оқу бөлімінің меңгерушісі,Білім беру және тәрбиелеу,от 200 000 до 250 000 тг.,"""Озат Білім Компаниясы"" жауапкершілігі шектеулі серіктестігі","Жамбыл облысы, Тараз қ.",5 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Құрылымдық бөлімнің бастығы,Басшылар,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",10 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Авиациялық қауіпсіздік жөніндегі инспектор,Көлік және логистика,900 000 тг. бастап,"""Қазақстанның авиациялық әкімшілігі"" акционерлік қоғамы","Астана қ., ""Есіл"" ауданы",7 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Библиограф,Мәдениет және спорт,от 130 000 до 135 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
Кітапханашы,Мәдениет және спорт,от 150 000 до 170 000 тг.,"""Нархоз Университеті"" Коммерциялық емес акционерлік қоғамы","Алматы  қ., Әуезов ауданы",3 жыл жұмыс өтілі,толық жұмыс күні,жоғары,10.10.2024 жарияланды
